växthusgas	sektor	år	Totala utsläpp av växthusgaser
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	1990	74921.1
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	1991	75267.7
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	1992	74894.6
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	1993	75510.6
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	1994	78557.0
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	1995	78300.6
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	1996	82157.7
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	1997	78137.6
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	1998	79290.8
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	1999	76523.7
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	2000	75281.8
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	2001	75478.6
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	2002	75594.0
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	2003	77406.9
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	2004	77719.1
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	2005	75293.4
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	2006	75821.4
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	2007	74631.9
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	2008	72155.4
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	2009	67850.0
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	2010	73236.5
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	2011	68483.3
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	2012	64928.3
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	2013	63176.7
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	2014	62075.5
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	2015	61836.7
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	2016	62342.2
Totala Växthusgaser (kt CO2-ekv.)	NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)	2017	63292.5
Totala Växthusgaser (kt CO2-ekv.)	ARBETSMASKINER, TOTALT	1990	3166.2
Totala Växthusgaser (kt CO2-ekv.)	ARBETSMASKINER, TOTALT	1991	2973.3
Totala Växthusgaser (kt CO2-ekv.)	ARBETSMASKINER, TOTALT	1992	3357.8
